Date,Time,Temperature,Dew Point,Humidity,Wind Direction,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
1999-1-1-3:56 PM,3:56 PM,21ʡF,16ʡF,81ʡ%,ESE,15ʡmph,0ʡmph,29.67ʡin,0.0ʡin,Cloudy
1999-1-1-4:28 PM,4:28 PM,19ʡF,16ʡF,86ʡ%,SE,13ʡmph,0ʡmph,29.64ʡin,0.0ʡin,Cloudy
1999-1-1-4:56 PM,4:56 PM,20ʡF,17ʡF,89ʡ%,ESE,13ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Cloudy
1999-1-1-5:46 PM,5:46 PM,21ʡF,16ʡF,80ʡ%,E,16ʡmph,0ʡmph,29.64ʡin,0.0ʡin,Cloudy
1999-1-1-5:56 PM,5:56 PM,21ʡF,16ʡF,81ʡ%,E,18ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Cloudy
1999-1-1-6:56 PM,6:56 PM,20ʡF,15ʡF,81ʡ%,E,17ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Cloudy
1999-1-1-7:56 PM,7:56 PM,20ʡF,13ʡF,74ʡ%,E,17ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Cloudy
1999-1-1-8:56 PM,8:56 PM,20ʡF,12ʡF,71ʡ%,E,20ʡmph,29ʡmph,29.65ʡin,0.0ʡin,Cloudy
1999-1-1-9:56 PM,9:56 PM,20ʡF,14ʡF,78ʡ%,E,21ʡmph,28ʡmph,29.64ʡin,0.0ʡin,Cloudy / Windy
1999-1-1-10:56 PM,10:56 PM,20ʡF,12ʡF,71ʡ%,ESE,22ʡmph,28ʡmph,29.63ʡin,0.0ʡin,Cloudy / Windy
1999-1-1-11:33 PM,11:33 PM,19ʡF,12ʡF,74ʡ%,ESE,18ʡmph,0ʡmph,29.61ʡin,0.0ʡin,Cloudy
1999-1-1-11:56 PM,11:56 PM,19ʡF,15ʡF,85ʡ%,E,18ʡmph,0ʡmph,29.63ʡin,0.0ʡin,Cloudy
1999-1-1-12:43 AM,12:43 AM,18ʡF,16ʡF,93ʡ%,E,22ʡmph,29ʡmph,29.57ʡin,0.0ʡin,Cloudy / Windy
1999-1-2-12:56 AM,12:56 AM,18ʡF,14ʡF,84ʡ%,ESE,22ʡmph,30ʡmph,29.59ʡin,0.0ʡin,Cloudy / Windy
1999-1-2-1:49 AM,1:49 AM,18ʡF,16ʡF,93ʡ%,E,24ʡmph,0ʡmph,29.52ʡin,0.0ʡin,Cloudy / Windy
1999-1-2-1:56 AM,1:56 AM,18ʡF,16ʡF,92ʡ%,E,21ʡmph,0ʡmph,29.55ʡin,0.0ʡin,Cloudy / Windy
1999-1-2-2:36 AM,2:36 AM,18ʡF,16ʡF,93ʡ%,E,22ʡmph,31ʡmph,29.49ʡin,0.0ʡin,Cloudy / Windy
1999-1-2-2:56 AM,2:56 AM,19ʡF,17ʡF,92ʡ%,E,26ʡmph,35ʡmph,29.52ʡin,0.0ʡin,Cloudy / Windy
1999-1-2-3:56 AM,3:56 AM,19ʡF,17ʡF,92ʡ%,E,18ʡmph,30ʡmph,29.49ʡin,0.0ʡin,Cloudy
1999-1-2-4:56 AM,4:56 AM,19ʡF,16ʡF,88ʡ%,E,25ʡmph,30ʡmph,29.46ʡin,0.0ʡin,Cloudy / Windy
1999-1-2-5:56 AM,5:56 AM,19ʡF,18ʡF,96ʡ%,E,25ʡmph,39ʡmph,29.41ʡin,0.0ʡin,Cloudy / Windy
1999-1-2-6:56 AM,6:56 AM,20ʡF,19ʡF,96ʡ%,E,20ʡmph,29ʡmph,29.35ʡin,0.0ʡin,Cloudy
1999-1-2-7:56 AM,7:56 AM,20ʡF,19ʡF,96ʡ%,E,28ʡmph,36ʡmph,29.31ʡin,0.0ʡin,Cloudy / Windy
1999-1-2-8:56 AM,8:56 AM,22ʡF,20ʡF,92ʡ%,E,25ʡmph,35ʡmph,29.28ʡin,0.0ʡin,Cloudy / Windy
1999-1-2-9:56 AM,9:56 AM,22ʡF,20ʡF,92ʡ%,E,23ʡmph,35ʡmph,29.25ʡin,0.0ʡin,Cloudy / Windy
1999-1-2-10:24 AM,10:24 AM,21ʡF,19ʡF,93ʡ%,E,31ʡmph,43ʡmph,29.21ʡin,0.0ʡin,Cloudy / Windy
1999-1-2-10:56 AM,10:56 AM,22ʡF,21ʡF,96ʡ%,E,18ʡmph,31ʡmph,29.21ʡin,0.0ʡin,Cloudy
1999-1-2-11:56 AM,11:56 AM,22ʡF,21ʡF,96ʡ%,E,25ʡmph,31ʡmph,29.18ʡin,0.0ʡin,Cloudy / Windy
1999-1-2-12:19 PM,12:19 PM,21ʡF,21ʡF,100ʡ%,E,21ʡmph,29ʡmph,29.14ʡin,0.0ʡin,Cloudy / Windy
1999-1-2-12:56 PM,12:56 PM,22ʡF,21ʡF,96ʡ%,E,22ʡmph,32ʡmph,29.13ʡin,0.0ʡin,Cloudy / Windy
1999-1-2-1:23 PM,1:23 PM,21ʡF,21ʡF,100ʡ%,E,18ʡmph,30ʡmph,29.07ʡin,0.0ʡin,Cloudy
1999-1-2-1:41 PM,1:41 PM,23ʡF,21ʡF,93ʡ%,E,22ʡmph,32ʡmph,29.05ʡin,0.0ʡin,Cloudy / Windy
1999-1-2-1:56 PM,1:56 PM,23ʡF,21ʡF,92ʡ%,E,23ʡmph,35ʡmph,29.06ʡin,0.0ʡin,Cloudy / Windy
1999-1-2-2:56 PM,2:56 PM,23ʡF,22ʡF,96ʡ%,ENE,22ʡmph,0ʡmph,29.01ʡin,0.0ʡin,Cloudy / Windy
1999-1-2-3:21 PM,3:21 PM,25ʡF,23ʡF,93ʡ%,E,22ʡmph,33ʡmph,28.97ʡin,0.0ʡin,Cloudy / Windy
1999-1-2-3:56 PM,3:56 PM,24ʡF,22ʡF,91ʡ%,ENE,22ʡmph,31ʡmph,28.98ʡin,0.0ʡin,Cloudy / Windy
1999-1-2-4:13 PM,4:13 PM,25ʡF,23ʡF,93ʡ%,ENE,21ʡmph,28ʡmph,28.94ʡin,0.0ʡin,Cloudy / Windy
1999-1-2-4:28 PM,4:28 PM,25ʡF,21ʡF,86ʡ%,ENE,24ʡmph,35ʡmph,28.93ʡin,0.0ʡin,Cloudy / Windy
1999-1-2-4:56 PM,4:56 PM,24ʡF,22ʡF,91ʡ%,ENE,20ʡmph,0ʡmph,28.95ʡin,0.0ʡin,Cloudy
1999-1-2-5:56 PM,5:56 PM,24ʡF,23ʡF,96ʡ%,ENE,23ʡmph,32ʡmph,28.93ʡin,0.0ʡin,Cloudy / Windy
1999-1-2-6:56 PM,6:56 PM,25ʡF,23ʡF,92ʡ%,ENE,14ʡmph,0ʡmph,28.89ʡin,0.0ʡin,Cloudy
1999-1-2-7:56 PM,7:56 PM,25ʡF,23ʡF,92ʡ%,ENE,14ʡmph,0ʡmph,28.85ʡin,0.0ʡin,Cloudy
1999-1-2-8:11 PM,8:11 PM,25ʡF,23ʡF,93ʡ%,ENE,10ʡmph,0ʡmph,28.84ʡin,0.0ʡin,Cloudy
1999-1-2-8:56 PM,8:56 PM,25ʡF,24ʡF,96ʡ%,ENE,13ʡmph,0ʡmph,28.84ʡin,0.0ʡin,Cloudy
1999-1-2-9:56 PM,9:56 PM,26ʡF,24ʡF,92ʡ%,NE,8ʡmph,0ʡmph,28.82ʡin,0.0ʡin,Cloudy
1999-1-2-10:56 PM,10:56 PM,26ʡF,24ʡF,92ʡ%,N,7ʡmph,0ʡmph,28.79ʡin,0.0ʡin,Cloudy
1999-1-2-11:56 PM,11:56 PM,26ʡF,24ʡF,92ʡ%,N,8ʡmph,0ʡmph,28.77ʡin,0.0ʡin,Cloudy
1999-1-3-12:56 AM,12:56 AM,26ʡF,25ʡF,96ʡ%,NNW,10ʡmph,0ʡmph,28.76ʡin,0.0ʡin,Cloudy
1999-1-3-1:56 AM,1:56 AM,25ʡF,24ʡF,96ʡ%,NNW,15ʡmph,0ʡmph,28.75ʡin,0.0ʡin,Cloudy
1999-1-3-2:19 AM,2:19 AM,25ʡF,23ʡF,93ʡ%,NNW,17ʡmph,0ʡmph,28.73ʡin,0.0ʡin,Cloudy
1999-1-3-2:42 AM,2:42 AM,25ʡF,21ʡF,86ʡ%,NW,17ʡmph,0ʡmph,28.74ʡin,0.0ʡin,Cloudy
1999-1-3-2:56 AM,2:56 AM,22ʡF,20ʡF,92ʡ%,NW,17ʡmph,0ʡmph,28.77ʡin,0.0ʡin,Cloudy
1999-1-3-3:21 AM,3:21 AM,19ʡF,16ʡF,86ʡ%,NW,18ʡmph,25ʡmph,28.76ʡin,0.0ʡin,Cloudy
1999-1-3-3:56 AM,3:56 AM,16ʡF,14ʡF,92ʡ%,NW,21ʡmph,26ʡmph,28.79ʡin,0.0ʡin,Cloudy / Windy
1999-1-3-4:56 AM,4:56 AM,15ʡF,11ʡF,84ʡ%,NW,18ʡmph,0ʡmph,28.83ʡin,0.0ʡin,Cloudy
1999-1-3-5:56 AM,5:56 AM,14ʡF,10ʡF,84ʡ%,NW,16ʡmph,23ʡmph,28.86ʡin,0.0ʡin,Cloudy
1999-1-3-6:56 AM,6:56 AM,13ʡF,9ʡF,84ʡ%,WNW,17ʡmph,26ʡmph,28.89ʡin,0.0ʡin,Mostly Cloudy
1999-1-3-8:56 AM,8:56 AM,14ʡF,9ʡF,80ʡ%,W,16ʡmph,22ʡmph,28.96ʡin,0.0ʡin,Cloudy
1999-1-3-9:56 AM,9:56 AM,14ʡF,9ʡF,80ʡ%,W,18ʡmph,22ʡmph,28.99ʡin,0.0ʡin,Mostly Cloudy
1999-1-3-10:56 AM,10:56 AM,16ʡF,10ʡF,77ʡ%,W,18ʡmph,25ʡmph,29.01ʡin,0.0ʡin,Mostly Cloudy
1999-1-3-11:56 AM,11:56 AM,16ʡF,10ʡF,77ʡ%,W,17ʡmph,0ʡmph,29.03ʡin,0.0ʡin,Mostly Cloudy
1999-1-3-12:56 PM,12:56 PM,16ʡF,10ʡF,77ʡ%,WSW,21ʡmph,25ʡmph,29.03ʡin,0.0ʡin,Mostly Cloudy / Windy
1999-1-3-1:56 PM,1:56 PM,16ʡF,8ʡF,71ʡ%,WSW,21ʡmph,24ʡmph,29.04ʡin,0.0ʡin,Mostly Cloudy / Windy
1999-1-3-2:41 PM,2:41 PM,16ʡF,9ʡF,73ʡ%,WSW,17ʡmph,28ʡmph,29.03ʡin,0.0ʡin,Cloudy
1999-1-3-2:56 PM,2:56 PM,15ʡF,10ʡF,80ʡ%,WSW,20ʡmph,24ʡmph,29.07ʡin,0.0ʡin,Cloudy
1999-1-3-3:01 PM,3:01 PM,16ʡF,9ʡF,73ʡ%,WSW,20ʡmph,0ʡmph,29.04ʡin,0.0ʡin,Cloudy
1999-1-3-3:56 PM,3:56 PM,15ʡF,10ʡF,80ʡ%,WSW,20ʡmph,0ʡmph,29.10ʡin,0.0ʡin,Mostly Cloudy
1999-1-3-4:56 PM,4:56 PM,15ʡF,10ʡF,80ʡ%,WSW,21ʡmph,29ʡmph,29.13ʡin,0.0ʡin,Cloudy / Windy
1999-1-3-5:43 PM,5:43 PM,14ʡF,9ʡF,79ʡ%,WSW,18ʡmph,25ʡmph,29.13ʡin,0.0ʡin,Cloudy
1999-1-3-5:56 PM,5:56 PM,12ʡF,8ʡF,84ʡ%,SW,16ʡmph,24ʡmph,29.17ʡin,0.0ʡin,Cloudy
1999-1-3-6:22 PM,6:22 PM,10ʡF,5ʡF,79ʡ%,SW,18ʡmph,26ʡmph,29.14ʡin,0.0ʡin,Cloudy
1999-1-3-6:56 PM,6:56 PM,9ʡF,4ʡF,80ʡ%,SW,18ʡmph,25ʡmph,29.20ʡin,0.0ʡin,Mostly Cloudy
1999-1-3-7:56 PM,7:56 PM,7ʡF,3ʡF,84ʡ%,WSW,15ʡmph,23ʡmph,29.21ʡin,0.0ʡin,Mostly Cloudy
1999-1-3-8:56 PM,8:56 PM,6ʡF,1ʡF,80ʡ%,WSW,16ʡmph,0ʡmph,29.23ʡin,0.0ʡin,Partly Cloudy
1999-1-3-9:56 PM,9:56 PM,5ʡF,0ʡF,78ʡ%,WSW,14ʡmph,0ʡmph,29.26ʡin,0.0ʡin,Partly Cloudy
1999-1-3-10:56 PM,10:56 PM,5ʡF,0ʡF,80ʡ%,WSW,14ʡmph,0ʡmph,29.27ʡin,0.0ʡin,Partly Cloudy
1999-1-3-11:56 PM,11:56 PM,5ʡF,1ʡF,84ʡ%,W,14ʡmph,0ʡmph,29.29ʡin,0.0ʡin,Partly Cloudy
1999-1-4-12:56 AM,12:56 AM,5ʡF,0ʡF,80ʡ%,WSW,14ʡmph,0ʡmph,29.31ʡin,0.0ʡin,Partly Cloudy
1999-1-4-1:44 AM,1:44 AM,3ʡF,0ʡF,85ʡ%,WSW,12ʡmph,0ʡmph,29.28ʡin,0.0ʡin,Mostly Cloudy
1999-1-4-1:56 AM,1:56 AM,3ʡF,-2ʡF,80ʡ%,WSW,13ʡmph,0ʡmph,29.32ʡin,0.0ʡin,Mostly Cloudy
1999-1-4-2:56 AM,2:56 AM,2ʡF,-4ʡF,76ʡ%,WSW,12ʡmph,0ʡmph,29.35ʡin,0.0ʡin,Mostly Cloudy
1999-1-4-3:56 AM,3:56 AM,1ʡF,-4ʡF,79ʡ%,WSW,12ʡmph,0ʡmph,29.38ʡin,0.0ʡin,Mostly Cloudy
1999-1-4-4:56 AM,4:56 AM,1ʡF,-4ʡF,79ʡ%,WSW,13ʡmph,0ʡmph,29.40ʡin,0.0ʡin,Mostly Cloudy
1999-1-4-5:56 AM,5:56 AM,0ʡF,-6ʡF,76ʡ%,WSW,12ʡmph,0ʡmph,29.42ʡin,0.0ʡin,Mostly Cloudy
1999-1-4-6:56 AM,6:56 AM,-1ʡF,-7ʡF,75ʡ%,WSW,12ʡmph,0ʡmph,29.45ʡin,0.0ʡin,Partly Cloudy
1999-1-4-7:56 AM,7:56 AM,-1ʡF,-8ʡF,72ʡ%,W,13ʡmph,21ʡmph,29.47ʡin,0.0ʡin,Partly Cloudy
1999-1-4-8:56 AM,8:56 AM,0ʡF,-7ʡF,72ʡ%,W,12ʡmph,0ʡmph,29.49ʡin,0.0ʡin,Partly Cloudy
1999-1-4-9:56 AM,9:56 AM,2ʡF,-6ʡF,69ʡ%,WSW,10ʡmph,0ʡmph,29.52ʡin,0.0ʡin,Mostly Cloudy
1999-1-4-10:56 AM,10:56 AM,3ʡF,-5ʡF,69ʡ%,W,13ʡmph,0ʡmph,29.53ʡin,0.0ʡin,Mostly Cloudy
1999-1-4-11:56 AM,11:56 AM,3ʡF,-6ʡF,66ʡ%,WNW,13ʡmph,0ʡmph,29.54ʡin,0.0ʡin,Mostly Cloudy
1999-1-4-12:56 PM,12:56 PM,5ʡF,-4ʡF,66ʡ%,WSW,12ʡmph,0ʡmph,29.54ʡin,0.0ʡin,Mostly Cloudy
1999-1-4-1:56 PM,1:56 PM,4ʡF,-7ʡF,60ʡ%,SW,12ʡmph,0ʡmph,29.54ʡin,0.0ʡin,Mostly Cloudy
1999-1-4-2:56 PM,2:56 PM,4ʡF,-5ʡF,66ʡ%,SW,13ʡmph,0ʡmph,29.56ʡin,0.0ʡin,Mostly Cloudy
1999-1-4-3:56 PM,3:56 PM,3ʡF,-4ʡF,73ʡ%,SW,13ʡmph,0ʡmph,29.58ʡin,0.0ʡin,Mostly Cloudy
1999-1-4-4:56 PM,4:56 PM,2ʡF,-7ʡF,66ʡ%,SW,13ʡmph,0ʡmph,29.59ʡin,0.0ʡin,Mostly Cloudy
1999-1-4-5:56 PM,5:56 PM,0ʡF,-7ʡF,72ʡ%,SW,10ʡmph,0ʡmph,29.61ʡin,0.0ʡin,Mostly Cloudy
1999-1-4-6:56 PM,6:56 PM,-2ʡF,-9ʡF,72ʡ%,SSW,12ʡmph,0ʡmph,29.63ʡin,0.0ʡin,Partly Cloudy
1999-1-4-7:56 PM,7:56 PM,-3ʡF,-10ʡF,72ʡ%,SW,9ʡmph,0ʡmph,29.64ʡin,0.0ʡin,Partly Cloudy
1999-1-4-8:56 PM,8:56 PM,-5ʡF,-10ʡF,80ʡ%,SW,12ʡmph,0ʡmph,29.65ʡin,0.0ʡin,Partly Cloudy
1999-1-4-9:56 PM,9:56 PM,-6ʡF,-12ʡF,75ʡ%,WSW,12ʡmph,0ʡmph,29.65ʡin,0.0ʡin,Partly Cloudy
1999-1-4-10:56 PM,10:56 PM,-7ʡF,-11ʡF,83ʡ%,SW,10ʡmph,0ʡmph,29.65ʡin,0.0ʡin,Partly Cloudy
1999-1-4-11:56 PM,11:56 PM,-8ʡF,-13ʡF,79ʡ%,WSW,9ʡmph,0ʡmph,29.66ʡin,0.0ʡin,Fair
1999-1-5-12:56 AM,12:56 AM,-9ʡF,-15ʡF,75ʡ%,WSW,12ʡmph,0ʡmph,29.65ʡin,0.0ʡin,Partly Cloudy
1999-1-5-1:56 AM,1:56 AM,-10ʡF,-18ʡF,68ʡ%,WSW,9ʡmph,0ʡmph,29.66ʡin,0.0ʡin,Fair
1999-1-5-2:56 AM,2:56 AM,-11ʡF,-15ʡF,83ʡ%,WSW,8ʡmph,0ʡmph,29.66ʡin,0.0ʡin,Fair
1999-1-5-3:56 AM,3:56 AM,-12ʡF,-16ʡF,82ʡ%,SW,6ʡmph,0ʡmph,29.66ʡin,0.0ʡin,Fair
1999-1-5-4:56 AM,4:56 AM,-13ʡF,-18ʡF,78ʡ%,SW,8ʡmph,0ʡmph,29.66ʡin,0.0ʡin,Fair
1999-1-5-5:56 AM,5:56 AM,-15ʡF,-20ʡF,78ʡ%,SW,6ʡmph,0ʡmph,29.64ʡin,0.0ʡin,Fair
1999-1-5-6:56 AM,6:56 AM,-15ʡF,-18ʡF,86ʡ%,SW,7ʡmph,0ʡmph,29.65ʡin,0.0ʡin,Partly Cloudy
1999-1-5-7:56 AM,7:56 AM,-15ʡF,-20ʡF,78ʡ%,SSW,7ʡmph,0ʡmph,29.65ʡin,0.0ʡin,Partly Cloudy
1999-1-5-8:56 AM,8:56 AM,-15ʡF,-21ʡF,75ʡ%,SSW,7ʡmph,0ʡmph,29.67ʡin,0.0ʡin,Partly Cloudy
1999-1-5-9:56 AM,9:56 AM,-12ʡF,-16ʡF,82ʡ%,SW,8ʡmph,0ʡmph,29.67ʡin,0.0ʡin,Partly Cloudy
1999-1-5-10:56 AM,10:56 AM,-8ʡF,-14ʡF,75ʡ%,SSW,10ʡmph,0ʡmph,29.66ʡin,0.0ʡin,Partly Cloudy
1999-1-5-11:56 AM,11:56 AM,-5ʡF,-12ʡF,72ʡ%,SSW,12ʡmph,0ʡmph,29.65ʡin,0.0ʡin,Mostly Cloudy
1999-1-5-12:56 PM,12:56 PM,-3ʡF,-9ʡF,75ʡ%,S,13ʡmph,0ʡmph,29.61ʡin,0.0ʡin,Mostly Cloudy
1999-1-5-1:56 PM,1:56 PM,-1ʡF,-12ʡF,60ʡ%,SSW,12ʡmph,0ʡmph,29.59ʡin,0.0ʡin,Cloudy
1999-1-5-2:56 PM,2:56 PM,2ʡF,-9ʡF,60ʡ%,S,12ʡmph,0ʡmph,29.54ʡin,0.0ʡin,Cloudy
1999-1-5-3:56 PM,3:56 PM,3ʡF,-8ʡF,60ʡ%,S,12ʡmph,0ʡmph,29.51ʡin,0.0ʡin,Cloudy
1999-1-5-4:56 PM,4:56 PM,2ʡF,-8ʡF,63ʡ%,S,9ʡmph,0ʡmph,29.48ʡin,0.0ʡin,Cloudy
1999-1-5-5:56 PM,5:56 PM,4ʡF,-3ʡF,73ʡ%,S,12ʡmph,0ʡmph,29.46ʡin,0.0ʡin,Cloudy
1999-1-5-6:56 PM,6:56 PM,5ʡF,-2ʡF,73ʡ%,S,13ʡmph,0ʡmph,29.44ʡin,0.0ʡin,Cloudy
1999-1-5-7:56 PM,7:56 PM,7ʡF,1ʡF,77ʡ%,S,15ʡmph,0ʡmph,29.41ʡin,0.0ʡin,Cloudy
1999-1-5-8:56 PM,8:56 PM,9ʡF,3ʡF,77ʡ%,S,12ʡmph,0ʡmph,29.39ʡin,0.0ʡin,Cloudy
1999-1-5-9:56 PM,9:56 PM,11ʡF,4ʡF,73ʡ%,S,9ʡmph,0ʡmph,29.35ʡin,0.0ʡin,Cloudy
1999-1-5-10:17 PM,10:17 PM,10ʡF,7ʡF,85ʡ%,S,12ʡmph,0ʡmph,29.28ʡin,0.0ʡin,Cloudy
1999-1-5-10:26 PM,10:26 PM,10ʡF,9ʡF,92ʡ%,S,10ʡmph,0ʡmph,29.27ʡin,0.0ʡin,Cloudy
1999-1-5-10:45 PM,10:45 PM,12ʡF,7ʡF,79ʡ%,S,12ʡmph,0ʡmph,29.27ʡin,0.0ʡin,Cloudy
1999-1-5-10:56 PM,10:56 PM,12ʡF,9ʡF,88ʡ%,S,10ʡmph,0ʡmph,29.32ʡin,0.0ʡin,Cloudy
1999-1-5-11:13 PM,11:13 PM,12ʡF,10ʡF,92ʡ%,S,12ʡmph,0ʡmph,29.27ʡin,0.0ʡin,Cloudy
1999-1-5-11:23 PM,11:23 PM,14ʡF,10ʡF,86ʡ%,SSW,9ʡmph,0ʡmph,29.26ʡin,0.0ʡin,Cloudy
1999-1-5-11:27 PM,11:27 PM,14ʡF,10ʡF,86ʡ%,S,12ʡmph,0ʡmph,29.26ʡin,0.0ʡin,Cloudy
1999-1-5-11:56 PM,11:56 PM,16ʡF,14ʡF,92ʡ%,SSW,9ʡmph,0ʡmph,29.28ʡin,0.0ʡin,Cloudy
1999-1-5-12:26 AM,12:26 AM,18ʡF,16ʡF,93ʡ%,SSW,12ʡmph,17ʡmph,29.24ʡin,0.0ʡin,Cloudy
1999-1-6-12:56 AM,12:56 AM,18ʡF,15ʡF,88ʡ%,SSW,9ʡmph,0ʡmph,29.26ʡin,0.0ʡin,Cloudy
1999-1-6-1:45 AM,1:45 AM,18ʡF,18ʡF,100ʡ%,SW,9ʡmph,0ʡmph,29.20ʡin,0.0ʡin,Cloudy
1999-1-6-1:56 AM,1:56 AM,18ʡF,17ʡF,96ʡ%,SW,6ʡmph,0ʡmph,29.24ʡin,0.0ʡin,Cloudy
1999-1-6-2:21 AM,2:21 AM,19ʡF,18ʡF,93ʡ%,SW,8ʡmph,0ʡmph,29.19ʡin,0.0ʡin,Cloudy
1999-1-6-2:56 AM,2:56 AM,20ʡF,18ʡF,92ʡ%,SW,12ʡmph,0ʡmph,29.23ʡin,0.0ʡin,Cloudy
1999-1-6-3:56 AM,3:56 AM,20ʡF,17ʡF,89ʡ%,WSW,14ʡmph,0ʡmph,29.21ʡin,0.0ʡin,Cloudy
1999-1-6-4:56 AM,4:56 AM,19ʡF,18ʡF,96ʡ%,WSW,10ʡmph,0ʡmph,29.21ʡin,0.0ʡin,Cloudy
1999-1-6-5:03 AM,5:03 AM,19ʡF,18ʡF,93ʡ%,WSW,10ʡmph,0ʡmph,29.17ʡin,0.0ʡin,Cloudy
1999-1-6-5:56 AM,5:56 AM,19ʡF,18ʡF,96ʡ%,WSW,12ʡmph,0ʡmph,29.19ʡin,0.0ʡin,Cloudy
1999-1-6-6:21 AM,6:21 AM,19ʡF,18ʡF,93ʡ%,WSW,12ʡmph,0ʡmph,29.16ʡin,0.0ʡin,Cloudy
1999-1-6-6:56 AM,6:56 AM,20ʡF,18ʡF,92ʡ%,WSW,9ʡmph,0ʡmph,29.18ʡin,0.0ʡin,Cloudy
1999-1-6-7:33 AM,7:33 AM,19ʡF,16ʡF,86ʡ%,WSW,10ʡmph,0ʡmph,29.16ʡin,0.0ʡin,Cloudy
1999-1-6-7:56 AM,7:56 AM,20ʡF,17ʡF,89ʡ%,WSW,9ʡmph,0ʡmph,29.20ʡin,0.0ʡin,Cloudy
1999-1-6-8:56 AM,8:56 AM,20ʡF,18ʡF,92ʡ%,WSW,9ʡmph,0ʡmph,29.19ʡin,0.0ʡin,Cloudy
1999-1-6-8:58 AM,8:58 AM,19ʡF,19ʡF,100ʡ%,WSW,14ʡmph,0ʡmph,29.16ʡin,0.0ʡin,Cloudy
1999-1-6-9:01 AM,9:01 AM,19ʡF,18ʡF,93ʡ%,W,13ʡmph,0ʡmph,29.16ʡin,0.0ʡin,Cloudy
1999-1-6-9:25 AM,9:25 AM,21ʡF,18ʡF,86ʡ%,W,12ʡmph,0ʡmph,29.18ʡin,0.0ʡin,Cloudy
1999-1-6-9:38 AM,9:38 AM,21ʡF,18ʡF,86ʡ%,W,14ʡmph,0ʡmph,29.18ʡin,0.0ʡin,Cloudy
1999-1-6-9:56 AM,9:56 AM,21ʡF,17ʡF,85ʡ%,W,12ʡmph,21ʡmph,29.22ʡin,0.0ʡin,Cloudy
1999-1-6-10:31 AM,10:31 AM,19ʡF,18ʡF,93ʡ%,W,12ʡmph,0ʡmph,29.19ʡin,0.0ʡin,Cloudy
1999-1-6-10:39 AM,10:39 AM,19ʡF,18ʡF,93ʡ%,W,14ʡmph,0ʡmph,29.21ʡin,0.0ʡin,Cloudy
1999-1-6-10:56 AM,10:56 AM,20ʡF,17ʡF,89ʡ%,W,12ʡmph,0ʡmph,29.26ʡin,0.0ʡin,Cloudy
1999-1-6-11:21 AM,11:21 AM,19ʡF,18ʡF,93ʡ%,W,10ʡmph,0ʡmph,29.22ʡin,0.0ʡin,Cloudy
1999-1-6-11:56 AM,11:56 AM,19ʡF,15ʡF,85ʡ%,W,16ʡmph,0ʡmph,29.26ʡin,0.0ʡin,Cloudy
1999-1-6-12:04 PM,12:04 PM,19ʡF,16ʡF,86ʡ%,WNW,14ʡmph,0ʡmph,29.24ʡin,0.0ʡin,Cloudy
1999-1-6-12:22 PM,12:22 PM,19ʡF,16ʡF,86ʡ%,WNW,12ʡmph,0ʡmph,29.24ʡin,0.0ʡin,Cloudy
1999-1-6-12:41 PM,12:41 PM,18ʡF,12ʡF,79ʡ%,WNW,17ʡmph,22ʡmph,29.23ʡin,0.0ʡin,Cloudy
1999-1-6-12:56 PM,12:56 PM,18ʡF,14ʡF,84ʡ%,NW,16ʡmph,0ʡmph,29.27ʡin,0.0ʡin,Cloudy
1999-1-6-1:01 PM,1:01 PM,18ʡF,12ʡF,79ʡ%,WNW,17ʡmph,0ʡmph,29.25ʡin,0.0ʡin,Cloudy
1999-1-6-1:19 PM,1:19 PM,18ʡF,10ʡF,73ʡ%,WNW,15ʡmph,0ʡmph,29.24ʡin,0.0ʡin,Cloudy
1999-1-6-1:56 PM,1:56 PM,18ʡF,11ʡF,74ʡ%,WNW,16ʡmph,0ʡmph,29.28ʡin,0.0ʡin,Cloudy
1999-1-6-2:56 PM,2:56 PM,17ʡF,9ʡF,71ʡ%,WNW,13ʡmph,0ʡmph,29.30ʡin,0.0ʡin,Mostly Cloudy
1999-1-6-3:56 PM,3:56 PM,15ʡF,7ʡF,70ʡ%,NW,17ʡmph,0ʡmph,29.34ʡin,0.0ʡin,Mostly Cloudy
1999-1-6-4:56 PM,4:56 PM,13ʡF,6ʡF,74ʡ%,WNW,18ʡmph,0ʡmph,29.38ʡin,0.0ʡin,Mostly Cloudy
1999-1-6-5:56 PM,5:56 PM,13ʡF,5ʡF,71ʡ%,WNW,14ʡmph,0ʡmph,29.42ʡin,0.0ʡin,Mostly Cloudy
1999-1-6-6:56 PM,6:56 PM,12ʡF,3ʡF,67ʡ%,WNW,9ʡmph,0ʡmph,29.45ʡin,0.0ʡin,Mostly Cloudy
1999-1-6-8:56 PM,8:56 PM,9ʡF,1ʡF,70ʡ%,W,10ʡmph,0ʡmph,29.52ʡin,0.0ʡin,Fair
1999-1-6-9:56 PM,9:56 PM,7ʡF,-1ʡF,70ʡ%,W,10ʡmph,0ʡmph,29.55ʡin,0.0ʡin,Fair
1999-1-6-10:56 PM,10:56 PM,5ʡF,-6ʡF,61ʡ%,W,13ʡmph,0ʡmph,29.58ʡin,0.0ʡin,Fair
1999-1-6-11:56 PM,11:56 PM,3ʡF,-4ʡF,73ʡ%,W,12ʡmph,0ʡmph,29.61ʡin,0.0ʡin,Fair
